stock,day,sentiment
A,2020-05-22 00:00:00+00:00,0.047999999999999994
A,2020-05-26 00:00:00+00:00,0.0
A,2020-06-03 00:00:00+00:00,0.0
A,2020-06-05 00:00:00+00:00,0.0
AA,2020-05-18 00:00:00+00:00,0.8519
AA,2020-05-26 00:00:00+00:00,-0.128
AA,2020-05-27 00:00:00+00:00,0.4455
AA,2020-06-03 00:00:00+00:00,0.8442
AA,2020-06-04 00:00:00+00:00,0.8442
AA,2020-06-05 00:00:00+00:00,0.0
AA,2020-06-08 00:00:00+00:00,0.74405
AA,2020-06-09 00:00:00+00:00,0.7506
AAC,2019-08-30 00:00:00+00:00,0.0
AAC,2019-09-03 00:00:00+00:00,0.0
AAC,2019-10-10 00:00:00+00:00,-0.2023
AAC,2019-10-11 00:00:00+00:00,-0.2023
AAC,2019-10-15 00:00:00+00:00,0.0
AAC,2019-10-25 00:00:00+00:00,0.296
AADR,2013-03-05 00:00:00+00:00,0.0
AADR,2013-09-06 00:00:00+00:00,0.1695
AAL,2020-06-08 00:00:00+00:00,0.7579
AAL,2020-06-09 00:00:00+00:00,0.3635333333333333
AAL,2020-06-10 00:00:00+00:00,0.060200000000000004
AAMC,2019-02-27 00:00:00+00:00,0.0
AAMC,2019-03-25 00:00:00+00:00,0.0
AAMC,2019-03-26 00:00:00+00:00,0.0
AAMC,2019-05-08 00:00:00+00:00,0.3612
AAMC,2019-05-30 00:00:00+00:00,0.0
AAMC,2019-08-07 00:00:00+00:00,0.3612
AAMC,2019-11-06 00:00:00+00:00,0.3612
AAMC,2020-02-28 00:00:00+00:00,0.3612
AAMC,2020-04-30 00:00:00+00:00,0.0
AAMC,2020-05-11 00:00:00+00:00,0.3612
AAME,2018-10-30 00:00:00+00:00,0.0
AAME,2018-11-13 00:00:00+00:00,0.0
AAME,2019-04-01 00:00:00+00:00,0.0
AAME,2019-05-13 00:00:00+00:00,0.0
AAME,2019-05-23 00:00:00+00:00,-0.3182
AAME,2019-10-28 00:00:00+00:00,-0.2023
AAME,2019-11-08 00:00:00+00:00,-0.2023
AAME,2019-11-12 00:00:00+00:00,0.0
AAME,2019-11-21 00:00:00+00:00,-0.2023
AAME,2020-05-11 00:00:00+00:00,0.0
AAN,2020-05-08 00:00:00+00:00,0.0
AAN,2020-05-26 00:00:00+00:00,0.7269
AAN,2020-06-04 00:00:00+00:00,0.2997
AAN,2020-06-05 00:00:00+00:00,0.8834
AAN,2020-06-08 00:00:00+00:00,0.27115
AAN,2020-06-10 00:00:00+00:00,-0.17
AAOI,2020-03-16 00:00:00+00:00,-0.2023
AAOI,2020-05-01 00:00:00+00:00,0.0
AAOI,2020-05-07 00:00:00+00:00,-0.1806
AAOI,2020-05-08 00:00:00+00:00,-0.02044
AAOI,2020-05-11 00:00:00+00:00,0.0
AAON,2020-02-27 00:00:00+00:00,0.148
AAON,2020-03-12 00:00:00+00:00,-0.2023
AAON,2020-03-13 00:00:00+00:00,0.0
AAON,2020-03-16 00:00:00+00:00,0.0
AAON,2020-04-07 00:00:00+00:00,-0.128
AAON,2020-05-07 00:00:00+00:00,0.0
AAON,2020-05-15 00:00:00+00:00,0.0
AAP,2020-05-19 00:00:00+00:00,0.041999999999999996
AAP,2020-05-20 00:00:00+00:00,0.0
AAP,2020-05-21 00:00:00+00:00,-0.3612
AAP,2020-06-10 00:00:00+00:00,-0.296
AAPL,2020-06-09 00:00:00+00:00,0.2469
AAPL,2020-06-10 00:00:00+00:00,0.19885
AAU,2015-04-09 00:00:00+00:00,-0.2023
AAU,2016-04-19 00:00:00+00:00,0.0
AAU,2017-04-12 00:00:00+00:00,0.0
AAU,2017-07-07 00:00:00+00:00,0.0
AAU,2018-08-03 00:00:00+00:00,-0.2732
AAU,2018-08-16 00:00:00+00:00,-0.2732
AAU,2018-08-17 00:00:00+00:00,-0.2732
AAU,2018-10-02 00:00:00+00:00,-0.2732
AAU,2018-10-11 00:00:00+00:00,-0.2732
AAV,2018-05-04 00:00:00+00:00,0.25
AAV,2018-08-03 00:00:00+00:00,0.25
AAV,2018-09-04 00:00:00+00:00,0.25
AAV,2018-09-05 00:00:00+00:00,-0.2732
